CRASH DATE,CRASH TIME,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,insights,data
9/11/2021,2:39,WHITESTONE EXPRESSWAY,20 AVENUE,,2,9,0,0,0,0,2,0,4455765,Sedan,Sedan,,,motorist_injuries,616
3/26/2022,11:45,QUEENSBORO BRIDGE UPPER,,,1,7,9,0,0,0,1,0,4513547,Sedan,,,,pedestrian_injury,1000
11/1/2023,1:29,OCEAN PARKWAY,AVENUE K,,1,8,0,0,0,0,1,0,4675373,Moped,Sedan,Sedan,,total_killed by accident,1866
6/29/2022,6:55,THROGS NECK BRIDGE,,,0,4,0,0,0,0,0,0,4541903,Sedan,Pick-up Truck,,,pedestrian_killed,1915
9/21/2022,13:21,BROOKLYN BRIDGE,,,0,9,0,0,0,0,0,0,4566131,Station Wagon/Sport Utility Vehicle,,,,,
4/26/2023,13:30,WEST 54 STREET,,,0,7,0,0,0,0,0,0,4623759,Sedan,Box Truck,,,,
11/1/2023,7:12,HUTCHINSON RIVER PARKWAY,,,0,0,0,0,0,0,0,0,4675709,Sedan,Station Wagon/Sport Utility Vehicle,,,,
11/1/2023,8:01,WEST 35 STREET,HENRY HUDSON RIVER,,0,0,0,0,0,0,0,0,4675769,Sedan,,,,,
4/26/2023,22:20,,,61        Ed Koch queensborough bridge,0,6,0,0,0,0,0,0,4623865,Sedan,Pick-up Truck,,,,
9/11/2021,9:35,,,1211      LORING AVENUE,0,5,0,0,0,0,0,0,4456314,Sedan,,,,,
12/14/2021,8:13,SARATOGA AVENUE,DECATUR STREET,,0,5,0,0,0,0,0,0,4486609,,,,,,
4/14/2021,12:47,MAJOR DEEGAN EXPRESSWAY RAMP,,,0,7,0,0,0,0,0,0,4407458,Dump,Sedan,,,,
12/14/2021,17:05,BROOKLYN QUEENS EXPRESSWAY,,,0,8,0,0,0,0,0,0,4486555,Sedan,Tractor Truck Diesel,,,,
12/14/2021,8:17,,,344       BAYCHESTER AVENUE,2,4,0,0,0,0,2,0,4486660,Sedan,Sedan,,,,
12/14/2021,21:10,,,2047      PITKIN AVENUE,0,8,0,0,0,0,0,0,4487074,Sedan,,,,,
12/14/2021,14:58,3 AVENUE,EAST 43 STREET,,0,6,0,0,0,0,0,0,4486519,Sedan,Station Wagon/Sport Utility Vehicle,,,,
12/13/2021,0:34,MYRTLE AVENUE,,,0,8,0,0,0,0,0,0,4486934,Station Wagon/Sport Utility Vehicle,,,,,
12/14/2021,16:50,SPRINGFIELD BOULEVARD,EAST GATE PLAZA,,0,9,0,0,0,0,0,0,4487127,Sedan,Station Wagon/Sport Utility Vehicle,,,,
12/14/2021,8:30,broadway,west 80 street -west 81 street,,0,1,0,0,0,0,0,0,4486634,Station Wagon/Sport Utility Vehicle,Sedan,,,,
12/14/2021,0:59,BELT PARKWAY,,,0,10,0,0,0,0,0,0,4486564,Sedan,,,,,
12/14/2021,23:10,NORTH CONDUIT AVENUE,150 STREET,,2,6,0,0,0,0,2,0,4486635,Sedan,Sedan,,,,
12/14/2021,17:58,,,480       DEAN STREET,0,6,0,0,0,0,0,0,4486604,Tanker,Station Wagon/Sport Utility Vehicle,,,,
12/14/2021,20:03,,,878       FLATBUSH AVENUE,4,10,0,0,0,0,4,0,4486991,Sedan,,,,,
12/14/2021,1:28,MEEKER AVENUE,LORIMER STREET,,3,3,0,0,0,0,3,0,4486284,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
12/11/2021,19:43,WEST KINGSBRIDGE ROAD,HEATH AVENUE,,1,9,0,0,0,0,1,0,4487040,Station Wagon/Sport Utility Vehicle,Sedan,,,,
12/14/2021,14:30,WHITESTONE EXPRESSWAY,,,0,8,0,0,0,0,0,0,4486537,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,,
12/11/2021,4:45,,,232       WEST 30 STREET,0,4,0,0,0,0,0,0,4486905,Station Wagon/Sport Utility Vehicle,,,,,
12/14/2021,5:46,LONG ISLAND EXPRESSWAY,,,1,6,0,0,0,0,1,0,4487122,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
12/13/2021,6:30,82 STREET,34 AVENUE,,0,0,0,0,0,0,0,0,4486967,Sedan,,,,,
12/14/2021,3:43,LEXINGTON AVENUE,,,1,8,1,0,0,0,0,0,4486304,Station Wagon/Sport Utility Vehicle,,,,,
12/13/2021,17:40,VICTORY BOULEVARD,WOODSTOCK AVENUE,,1,7,0,0,0,0,1,0,4487001,Sedan,Sedan,,,,
12/14/2021,17:31,EAST 18 STREET,AVENUE K,,1,1,1,0,0,0,0,0,4486516,Sedan,,,,,
12/14/2021,20:13,,,366       12 STREET,0,9,0,0,0,0,0,0,4486605,Sedan,,,,,
12/14/2021,12:54,FULTON STREET,SAINT FELIX STREET,,1,2,0,0,1,0,0,0,4487052,Sedan,Bike,,,,
12/14/2021,17:15,GRAND STREET,UNION AVENUE,,1,4,0,0,0,0,1,0,4486556,Bus,Station Wagon/Sport Utility Vehicle,,,,
12/14/2021,22:49,,,713       EAGLE AVENUE,0,3,0,0,0,0,0,0,4486875,Taxi,,,,,
12/12/2021,9:00,,,59-14     67 AVENUE,0,6,0,0,0,0,0,0,4486933,Station Wagon/Sport Utility Vehicle,,,,,
12/14/2021,16:25,EAST 93 STREET,,,1,2,0,0,1,0,0,0,4486581,Van,Bike,,,,
11/2/2023,9:20,35 AVENUE,,,0,7,0,0,0,0,0,0,4675877,Station Wagon/Sport Utility Vehicle,,,,,
4/14/2021,14:30,EASTCHESTER ROAD,PELHAM PARKWAY NORTH,,0,5,0,0,0,0,0,0,4407520,Bus,,,,,
12/16/2021,6:59,KINGSLAND AVENUE,MEEKER AVENUE,,1,8,1,0,0,0,0,0,4486960,,,,,,
4/27/2023,15:40,WILLIAMSBURG BRIDGE OUTER ROADWA,,,1,10,0,0,0,0,1,0,4624078,Sedan,Sedan,,,,
9/22/2022,16:16,123 STREET,89 AVENUE,,1,1,0,0,0,0,0,0,4566408,Sedan,E-Scooter,,,,
1/12/2023,21:00,,,97-16     DREW STREET,0,4,0,0,0,0,0,0,4598234,Station Wagon/Sport Utility Vehicle,,,,,
6/29/2022,16:00,WILLIAMSBURG BRIDGE OUTER ROADWA,,,1,4,0,0,0,0,1,0,4542336,Motorscooter,Station Wagon/Sport Utility Vehicle,,,,
4/15/2021,16:15,HUTCHINSON RIVER PARKWAY,,,0,1,0,0,0,0,0,0,4407665,Station Wagon/Sport Utility Vehicle,,,,,
7/7/2021,11:42,THROGS NECK BRIDGE,,,1,2,0,0,0,0,1,0,4456591,Sedan,Sedan,,,,
4/27/2023,22:13,PELHAM PARKWAY SOUTH,WILLIAMSBRIDGE ROAD,,0,8,0,0,0,0,0,0,4624101,Sedan,,,,,
7/12/2022,17:50,,,44        EMPIRE BOULEVARD,0,100,0,0,0,0,0,0,4545699,Sedan,,,,,
3/23/2022,10:00,,,71        EAST DRIVE,0,3,0,0,0,0,0,0,4512922,Bike,,,,,
7/9/2021,0:43,ELIOT AVENUE,,,0,10,0,1,0,0,0,0,4456659,Bus,,,,,
4/24/2022,16:45,STATEN ISLAND EXPRESSWAY,,,1,9,0,0,0,0,1,0,4521660,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
4/24/2022,4:49,BOSTON ROAD,BRONX PARK EAST,,0,4,0,0,0,0,0,0,4521759,Station Wagon/Sport Utility Vehicle,Sedan,,,,
4/22/2022,17:17,EAST 107 STREET,,,1,0,1,0,0,0,0,0,4522226,E-Bike,,,,,
4/24/2022,1:30,,,5610      4 AVENUE,0,6,0,0,0,0,0,0,4522015,Station Wagon/Sport Utility Vehicle,,,,,
4/24/2022,6:00,,,116-44    234 STREET,0,7,0,0,0,0,0,0,4521460,Sedan,Station Wagon/Sport Utility Vehicle,,,,
4/24/2022,21:40,BOSCOBEL PLACE,UNIVERSITY AVENUE,,0,4,0,0,0,0,0,0,4522156,Taxi,Station Wagon/Sport Utility Vehicle,,,,
4/24/2022,17:45,BRONX RIVER PARKWAY,EAST 233 STREET,,0,7,0,0,0,0,0,0,4521633,Sedan,,,,,
4/15/2022,6:11,EAST 162 STREET,,,1,9,0,0,0,0,0,0,4522124,Station Wagon/Sport Utility Vehicle,E-Scooter,,,,
4/24/2022,9:51,CROSS BRONX EXPY,,,0,6,0,0,0,0,0,0,4521937,Sedan,,,,,
4/24/2022,0:00,MAJOR DEEGAN EXPRESSWAY,WEST FORDHAM ROAD,,0,5,0,0,0,0,0,0,4521801,Sedan,,,,,
3/8/2022,20:00,,,360       SNEDIKER AVENUE,0,0,0,0,0,0,0,0,4522285,Sedan,,,,,
4/24/2022,15:35,WEST 56 STREET,9 AVENUE,,1,3,0,0,1,0,0,0,4521853,Station Wagon/Sport Utility Vehicle,Bike,,,,
4/22/2022,12:00,AVENUE J,OCEAN PARKWAY,,1,0,0,0,0,0,1,0,4522228,Sedan,Pick-up Truck,,,,
4/24/2022,13:10,SAINT MARKS AVENUE,6 AVENUE,,0,1,0,0,0,0,0,0,4521702,Station Wagon/Sport Utility Vehicle,,,,,
4/24/2022,4:20,THROOP AVENUE,DE KALB AVENUE,,1,2,0,0,0,0,1,0,4522167,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
4/20/2022,19:37,HENRY HUDSON PARKWAY,,,0,0,0,0,0,0,0,0,4522196,Sedan,Station Wagon/Sport Utility Vehicle,,,,
4/24/2022,16:14,ROCKAWAY AVENUE,,,0,3,0,0,0,0,0,0,4521758,Sedan,Sedan,,,,
4/12/2022,19:56,UTICA AVENUE,SNYDER AVENUE,,1,4,1,0,0,0,0,0,4522136,Station Wagon/Sport Utility Vehicle,,,,,
4/24/2022,0:30,BELT PARKWAY,,,1,6,0,0,0,0,1,0,4521469,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
4/24/2022,20:13,,,102-24    VANWYCK EXPRESSWAY,0,1,0,0,0,0,0,0,4521859,Sedan,,,,,
4/24/2022,15:21,THOMSON AVENUE,SKILLMAN AVENUE,,1,6,0,0,0,0,1,0,4521590,Sedan,Sedan,,,,
4/24/2022,10:27,VANWYCK EXPRESSWAY,109 AVENUE,,1,1,0,0,0,0,1,0,4521902,Sedan,Station Wagon/Sport Utility Vehicle,,,,
4/24/2022,21:00,21 STREET,37 AVENUE,,1,8,0,0,0,0,1,0,4521684,Sedan,Sedan,,,,
4/24/2022,21:40,JAMAICA AVENUE,102 STREET,,0,8,0,0,0,0,0,0,4521858,Ambulance,Station Wagon/Sport Utility Vehicle,,,,
4/7/2022,14:14,1 AVENUE,EAST 41 STREET,,0,7,0,0,0,0,0,0,4522242,Sedan,Station Wagon/Sport Utility Vehicle,,,,
6/29/2021,17:35,BEACH CHANNEL DRIVE,,,0,108,0,0,0,0,0,0,4456672,Station Wagon/Sport Utility Vehicle,E-Bike,,,,
12/9/2021,20:20,EAST 7 STREET,CRAWFORD AVENUE,,1,1,0,0,1,0,0,0,4485150,Bike,,,,,
12/9/2021,14:50,WEST 177 STREET,,,0,0,0,0,0,0,0,0,4485116,Station Wagon/Sport Utility Vehicle,Sedan,,,,
12/9/2021,2:45,149 AVENUE,HUXLEY STREET,,1,1,0,0,0,0,1,0,4485026,Sedan,,,,,
12/6/2021,22:16,AVENUE J,,,0,5,0,0,0,0,0,0,4485528,Sedan,,,,,
12/4/2021,12:00,CROWN STREET,SCHENECTADY AVENUE,,0,1,0,0,0,0,0,0,4485333,Sedan,Ambulance,,,,
12/8/2021,16:20,EAST END AVENUE,EAST 88 STREET,,0,2,0,0,0,0,0,0,4485234,Taxi,Station Wagon/Sport Utility Vehicle,,,,
12/9/2021,23:15,12 AVENUE,41 STREET,,1,3,0,0,1,0,0,0,4485355,Sedan,Bike,,,,
12/1/2021,14:34,,,437       BEACH 68 STREET,0,2,0,0,0,0,0,0,4485581,Sedan,Pick-up Truck,,,,
12/10/2021,7:00,,,122-42    134 STREET,0,0,0,0,0,0,0,0,4485866,Sedan,,,,,
12/7/2021,9:20,TAYLOR STREET,,,0,3,0,0,0,0,0,0,4485192,Station Wagon/Sport Utility Vehicle,,,,,
