Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Collision Type,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle ID,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Vehicle Year,Vehicle Make
DM8479000T,210020119,Takoma Park Police Depart,Property Damage Crash,5/27/2021 19:40,OTHER,CF61C6EB-61C4-4627-9767-635D2F0174A6,No,NO APPARENT INJURY,N/A,UNKNOWN,MD,D3F480EE-638B-459A-BC20-533741BC4F76,SUPERFICIAL,ONE OCLOCK,OTHER,PARKED,,0,2017,HINO
MCP2970000R,15045937,MONTGOMERY,Property Damage Crash,9/11/2015 13:29,OTHER,E0C26FD8-EE66-4B8D-92AD-4AF5EBC8BF2C,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,14ECEFCD-3A58-4991-A9C6-A9D5CA54B419,UNKNOWN,UNKNOWN,PASSENGER CAR,PARKING,South,5,2012,TOYOTA
MCP20160036,180040948,Montgomery County Police,Property Damage Crash,8/17/2018 14:25,OTHER,E1D9F62E-0C17-4843-B797-4B97DFDF3E97,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,995C9706-91EC-48FC-8D2A-31759590E3EA,NO DAMAGE,SIX OCLOCK,PASSENGER CAR,BACKING,West,15,2015,MAZD
EJ7879003C,230048975,Gaithersburg Police Depar,Injury Crash,8/11/2023 18:00,SINGLE VEHICLE,05FB7597-2EE7-4226-B6D6-DA0F41600023,Unknown,NO APPARENT INJURY,N/A,UNKNOWN,MD,EDF71D99-8A86-4CCD-BD22-3F32076A134A,NO DAMAGE,UNKNOWN,PASSENGER CAR,MOVING CONSTANT SPEED,Unknown,15,2018,RAM
MCP2967004Y,230070277,Montgomery County Police,Property Damage Crash,12/6/2023 18:42,STRAIGHT MOVEMENT ANGLE,53FEE390-0B60-4017-B62C-489A78A68D2A,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,9870F867-5BC8-4ABB-BA69-A2E515C416CD,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,35,2017,AUDI
MCP3348000Z,230051804,Montgomery County Police,Injury Crash,8/28/2023 11:09,SAME DIR REAR END,39A7B821-025D-475F-99BF-DCBB3CA142A5,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,F0BED15C-7722-46F2-AC36-91B0233C4E16,FUNCTIONAL,SIX OCLOCK,(SPORT) UTILITY VEHICLE,SLOWING OR STOPPING,East,30,2010,MERCEDES
MCP302600BD,230046425,Montgomery County Police,Property Damage Crash,7/27/2023 12:30,STRAIGHT MOVEMENT ANGLE,4C98B915-8E0C-409A-8C6F-E35F687F7073,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,9FBC1A94-64EC-4FE3-B53C-DEB168F8E6E1,FUNCTIONAL,NINE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,30,2022,HOND
MCP2583003S,230074198,Montgomery County Police,Injury Crash,12/29/2023 16:40,SINGLE VEHICLE,415BB847-503D-4691-B241-9C33CA08849F,Yes,SUSPECTED MINOR INJURY,N/A,UNKNOWN,TX,DF8F53C6-27DC-42B4-82BB-6F3503D7433E,DESTROYED,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,UNKNOWN,West,30,2005,FORD
MCP3372001V,230065250,Montgomery County Police,Property Damage Crash,11/10/2023 20:24,SAME DIR REAR END,7D65825F-4624-4171-8835-F19D982A1311,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,06AC7473-C1EC-4C3B-A509-61CCB64EA5A5,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,South,35,2016,TOYOTA
MCP3005007M,230060937,Montgomery County Police,Property Damage Crash,10/16/2023 19:33,HEAD ON LEFT TURN,A03C1D88-7100-4CDF-BF9A-A1CC883FB200,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,7BAFAB94-3F1C-4701-80DF-E581C742A7A2,DISABLING,ONE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,South,35,2021,HONDA
EJ786600CN,230057666,Gaithersburg Police Depar,Property Damage Crash,9/30/2023 10:34,STRAIGHT MOVEMENT ANGLE,A83DA54E-4E5C-4D94-80E5-DD30EB6DA308,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,2D836492-E4B0-4E7D-98B4-5AE21528DBA3,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,35,2002,HOND
MCP3009006T,230060823,Montgomery County Police,Injury Crash,10/16/2023 11:10,STRAIGHT MOVEMENT ANGLE,90ECD24A-20B4-4695-A9E7-603B9F32D84C,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,527FCBB9-3D87-4092-BA90-DF3B44595E5B,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,ACCELERATING,East,20,2021,VOLKSWAGEN
MCP3012000S,16016902,Montgomery County Police,Injury Crash,4/7/2016 7:42,N/A,410CCA55-C124-40A3-B6EF-1FBA1B3491A0,Yes,NO APPARENT INJURY,"N/A, WET",INATTENTIVE OR LOST IN THOUGHT,DE,24D3ACC8-096D-433E-B728-7081FE416D1B,NO DAMAGE,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,15,2014,HONDA
MCP32950034,230049640,Montgomery County Police,Property Damage Crash,8/15/2023 18:02,SAME DIR REAR END,0FC31D33-C19E-45A6-85D7-D5BE78508548,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,22076931-AF42-49BD-A891-BBB5952B3E10,UNKNOWN,TWELVE OCLOCK,PASSENGER CAR,ACCELERATING,South,35,2019,KIA
DD5635004J,230067899,Rockville Police Departme,Property Damage Crash,11/22/2023 23:29,SINGLE VEHICLE,73796209-10DA-4927-8685-E62ECF336B76,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,0718FAE5-1D87-415B-881F-9E38E44AF260,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,South,45,2008,BMW
MCP2361002W,230064044,Montgomery County Police,Property Damage Crash,11/2/2023 18:21,SAME DIR REAR END,05B54E04-2E91-4980-BE88-1411632B5D46,Yes,NO APPARENT INJURY,N/A,TALKING OR LISTENING TO CELLULAR PHONE,MD,A65A2014-12BF-446A-AF5F-388970359AC1,DISABLING,TWELVE OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,North,35,2010,HOND
