UNIQUE_ID,COLLISION_ID,CRASH_DATE,CRASH_TIME,VEHICLE_ID,VEHICLE_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,VEHICLE_OCCUPANTS,DRIVER_LICENSE_STATUS,PRE_CRASH_NUM,POINT_OF_IMPACT,VEHICLE_DAMAGE,VEHICLE_DAMAGE_1,VEHICLE_DAMAGE_2,VEHICLE_DAMAGE_3,PUBLIC_PROPERTY_DAMAGE,CONTRIBUTING_FACTOR_1,CONTRIBUTING_FACTOR_2
10385780,100201,9/7/2012,9:03,1,PASSENGER VEHICLE,,,,,,6,,,,,,,Unspecified,
19140702,4213082,9/23/2019,8:15,0553ab4d-9500-4cba-8d98-f4d7f89d5856,Station Wagon/Sport Utility Vehicle,TOYT -CAR/SUV,,2002,1,Licensed,5,Left Front Bumper,Left Front Quarter Panel,,,,N,Driver Inattention/Distraction,Unspecified
14887647,3307608,10/2/2015,17:18,2,TAXI,,,,,,3,,,,,,,Driver Inattention/Distraction,
14889754,3308693,10/4/2015,20:34,1,PASSENGER VEHICLE,,,,,,2,,,,,,,Unspecified,
14400270,297666,4/25/2013,21:15,1,PASSENGER VEHICLE,,,,,,4,,,,,,,Other Vehicular,
17044639,3434155,5/2/2016,17:35,219456,4 dr sedan,MERZ -CAR/SUV,,2015,2,Licensed,6,Right Front Bumper,Right Front Bumper,Right Front Quarter Panel,,,N,Driver Inattention/Distraction,Unsafe Lane Changing
19138701,4229067,10/24/2019,13:15,c53b43d9-419a-4ab1-9361-3f2979078d89,Bus,FRHT-TRUCK/BUS,,2006,13,Licensed,7,Left Front Quarter Panel,Left Front Quarter Panel,,,,N,Unspecified,Unspecified
17303317,3503027,8/18/2016,12:39,672828,Station Wagon/Sport Utility Vehicle,FORD -CAR/SUV,,2005,2,Licensed,9,Center Front End,Center Front End,No Damage,No Damage,No Damage,N,Driver Inattention/Distraction,Unspecified
12254536,196425,7/16/2013,11:20,1,PASSENGER VEHICLE,,,,,,9,,,,,,,Unspecified,
11804847,2975897,11/26/2012,18:12,2,PASSENGER VEHICLE,,,,,,3,,,,,,,Driver Inattention/Distraction,
17285715,3487936,7/22/2016,15:40,554272,Convertible,VOLK -CAR/SUV,,2013,1,Licensed,5,Right Rear Bumper,Right Rear Bumper,Center Back End,Left Rear Bumper,,N,Unspecified,Unspecified
14809587,3268858,8/1/2015,8:17,2,PASSENGER VEHICLE,,,,,,3,,,,,,,Passenger Distraction,
17307366,3499697,8/13/2016,21:05,650962,Sedan,NISS -CAR/SUV,,2015,2,Licensed,2,Left Side Doors,Left Side Doors,Left Rear Quarter Panel,,,N,Unspecified,Unspecified
19140791,4229563,10/21/2019,17:55,86a294b4-6672-4a7e-8357-39d6d2eff9f7,Sedan,BMW -CAR/SUV,,2006,2,Licensed,8,Center Front End,Right Front Bumper,Right Front Quarter Panel,Right Front Bumper,,N,Unspecified,Unspecified
19694316,4322767,6/6/2020,18:30,fdc195a7-8127-4c00-834d-bac78b0cf88e,Bike,,,,1,Licensed,9,Center Front End,No Damage,No Damage,No Damage,No Damage,N,Traffic Control Disregarded,Unspecified
11912713,176016,8/11/2012,19:36,2,BICYCLE,,,,,,0,,,,,,,Unspecified,
17401424,3516125,9/8/2016,14:40,764668,Station Wagon/Sport Utility Vehicle,LINC -CAR/SUV,,2015,1,Licensed,3,Right Rear Quarter Panel,Right Rear Quarter Panel,Right Rear Bumper,No Damage,No Damage,N,Unspecified,Unspecified
9879462,79561,4/9/2013,15:10,1,PASSENGER VEHICLE,,,,,,2,,,,,,,Unspecified,
16952374,3412270,4/1/2016,15:46,87497,Station Wagon/Sport Utility Vehicle,TOYT -CAR/SUV,TOYT 4RN,2015,1,,3,Right Front Quarter Panel,No Damage,No Damage,No Damage,No Damage,N,Unsafe Lane Changing,Traffic Control Disregarded
19140656,4229538,10/24/2019,17:30,70e5262a-bd27-48a6-99a1-1ec659804088,Station Wagon/Sport Utility Vehicle,JEEP -CAR/SUV,,2018,3,Licensed,2,Left Rear Quarter Panel,Left Rear Quarter Panel,,,,N,Unspecified,Unspecified
19139721,4228839,10/24/2019,16:00,5bb0b59a-ce74-4a04-9f92-1446ebfe4f46,Sedan,TOYT -CAR/SUV,,1990,1,Licensed,5,Right Side Doors,Right Side Doors,,,,N,Unspecified,Unspecified
8704041,19615,7/16/2013,17:10,1,SPORT UTILITY / STATION WAGON,,,,,,1,,,,,,,Unspecified,
17222837,3542089,10/17/2016,16:00,993368,Pick-up Truck,freig,,2006,0,Licensed,7,Center Back End,Center Back End,,,,N,Unspecified,Unspecified
9882078,328209,5/1/2014,21:16,1,PASSENGER VEHICLE,,,,,,8,,,,,,,Unspecified,
14221219,3108421,8/4/2014,1:10,2,PASSENGER VEHICLE,,,,,,8,,,,,,,Unspecified,
17277100,3579297,12/13/2016,7:55,1193510,Station Wagon/Sport Utility Vehicle,HYUN -CAR/SUV,,2007,0,,8,Left Front Bumper,Left Front Bumper,Center Front End,Right Front Bumper,,N,Unspecified,Unspecified
11758197,1014563,8/27/2014,14:30,2,PASSENGER VEHICLE,,,,,,8,,,,,,,Unspecified,
14888316,3307950,10/2/2015,20:55,2,PASSENGER VEHICLE,,,,,,9,,,,,,,Unspecified,
17169289,3533118,8/5/2016,12:35,613344,Sedan,MERZ -CAR/SUV,,,,,7,Left Front Quarter Panel,,,,,N,Driver Inattention/Distraction,Unspecified
8889301,31225,12/10/2013,22:08,1,OTHER,,,,,,9,,,,,,,Unspecified,
8393362,1113,10/26/2012,16:20,2,BICYCLE,,,,,,8,,,,,,,Unspecified,
19139288,4228955,10/24/2019,23:40,8e406c38-a35f-4a06-bd29-fb196b3adec0,Station Wagon/Sport Utility Vehicle,NISS -CAR/SUV,,2011,3,Permit,9,Left Side Doors,Left Side Doors,Left Front Quarter Panel,,,N,Unspecified,Unspecified
19141039,4223842,10/14/2019,6:20,64b7fb10-b91b-4faa-8a30-baa797b1bf2c,,,,,,,7,,,,,,N,Driver Inattention/Distraction,Unspecified
12553012,1037702,10/11/2014,21:20,1,SPORT UTILITY / STATION WAGON,,,,,,6,,,,,,,Driver Inattention/Distraction,
14925931,3326836,11/2/2015,11:00,2,PASSENGER VEHICLE,,,,,,8,,,,,,,Unspecified,
14795557,3262048,7/20/2015,6:30,1,TAXI,,,,,,9,,,,,,,Backing Unsafely,
8483670,9285,2/20/2014,17:30,2,OTHER,,,,,,1,,,,,,,Unspecified,
8404435,1009244,8/16/2014,12:50,2,TAXI,,,,,,9,,,,,,,Driver Inattention/Distraction,
19138486,4228644,10/24/2019,10:25,8ada1656-bb64-4bba-91b5-f8872d9de368,Sedan,TOYT -CAR/SUV,,2008,2,Licensed,1,Center Front End,No Damage,No Damage,No Damage,No Damage,N,Driver Inattention/Distraction,Unspecified
